Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1957 Oct 4 1928:34,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,1-y ISZ,1957 ALP 2,
1957 Oct 17 0505,HADC,Holloman Air Force Base,32.8525,-106.106389,Aerobee,S,USAF 88 Charge A,1957-U01,
1957 Nov 3 0230:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8K71PS,S,2-y ISZ,1957 BET 1,
1957 Dec 6 1644:35,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1957-F01,
1958 Feb 1 0347:56,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,S,Explorer 1,1958 ALP,
1958 Feb 5 0733,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F01,
1958 Mar 5 1827:57,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,F,Explorer 2,1958-F02,
1958 Mar 17 1215:41,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,S,Vanguard I,1958 BET 2,
1958 Mar 26 1738:03,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,S,Explorer 3,1958 GAM,
1958 Apr 27 0901,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,F,[ISZ],1958-F03,
1958 Apr 29 0253:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F04,
1958 May 15 0700:35,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Sputnik 8A91,S,3-y Sovetskiy ISZ,1958 DEL 2,
1958 May 28 0346:20,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F05,
1958 Jun 26 0500:52,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-F06,
1958 Jul 25,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 1,1958-F07,
1958 Jul 26 1500:57,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,S,Explorer 4,1958 EPS,
1958 Aug 12,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 2,1958-F08,
1958 Aug 17 1218,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able I,F,Able I (Pioneer),1958-F09,Moon
1958 Aug 22,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 3,1958-F10,
1958 Aug 24 0617:22,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,F,Explorer 5,1958-F11,
1958 Aug 25,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 4,1958-F12,
1958 Aug 26,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 5,1958-F13,
1958 Aug 28,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Project Pilot,F,NOTS 6,1958-F14,
1958 Sep 23 0740:23,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 1,1958-F15,Moon
1958 Sep 26 1538,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1958-U01,
1958 Oct 11 0842:13,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able I,S,Pioneer 1,1958 ETA,Moon
1958 Oct 11 2141:58,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 2,1958-F17,Moon
1958 Oct 23 0321:04,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Jupiter C,F,Beacon,1958-F18,
1958 Nov 8 0730:21,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able I,F,Pioneer 2,1958-F19,Moon
1958 Dec 4 1818:45,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 3,1958-F20,Moon
1958 Dec 6 0544:52,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,S,Pioneer 3,1958 THE,Moon
1958 Dec 18 2302,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas B,S,SCORE,1958 ZET,
1959 Jan 2 1641:21,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,AMS Luna-1,1959 MU 1,Moon
1959 Feb 17 1555,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,S,Vanguard II,1959 ALP 1,
1959 Feb 28 2149:16,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 1,1959 BET,
1959 Mar 3 0510:56,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,S,Pioneer 4,1959 NU 1,Moon
1959 Apr 13 2118:39,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 2,1959 GAM,
1959 Apr 14 0249:46,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1959-F01,
1959 Jun 3 2009:20,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 3,1959-F02,
1959 Jun 18 0808,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[AMS Luna] E-1 No. 5,1959-F06,Moon
1959 Jun 22 2016:09,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,F,Vanguard,1959-F03,
1959 Jun 25 2247:45,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 4,1959-U01,
1959 Jul 16 1737:03,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,F,NASA S-1,1959-F05,
1959 Aug 7 1424:20,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able III,S,Explorer 6,1959 DEL 1,
1959 Aug 13 1900:08,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 5,1959 EPS 1,
1959 Aug 15 0031:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,F,Beacon,1959-F07,
1959 Aug 19 1924:44,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 6,1959 ZET,
1959 Sep 12 0639:42,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,AMS Luna-2,1959 XI 1,Moon
1959 Sep 17 1434,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able II,F,Transit 1A,1959-F08,Moon
1959 Sep 18 0520:07,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Vanguard,S,Vanguard III,1959 ETA,
1959 Oct 4 0043:39,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,S,AMS Luna-3,1959 THE 1,Moon
1959 Oct 13 1530:04,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,S,Explorer 7,1959 IOT 1,
1959 Nov 7 2028:41,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 7,1959 KAP,
1959 Nov 20 1925:24,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 8,1959 LAM,
1959 Nov 26 0726,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Able,F,P-3,1959-F09,Moon
1960 Feb 4 1851:45,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 9,1960-F01,
1960 Feb 19 2015:14,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 10,1960-F02,
1960 Feb 26 1725:30,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Agena A,F,Midas 1,1960-F03,
1960 Mar 11 1300:07,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able IV,S,Pioneer V,1960 ALP 1,
1960 Mar 23 1335:11,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,F,NASA S-46,1960-F04,
1960 Apr 1 1140:09,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Able II,S,Tiros 1,1960 BET 2,
1960 Apr 13 1202:36,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 1B,1960 GAM 2,
1960 Apr 15 1506:45,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[Luna-4],1960-U01,Moon
1960 Apr 15 2030:37,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 11,1960 DEL,
1960 Apr 16 1607:41,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok-L 8K72,F,[Luna-4],1960-F06,Moon
1960 May 13 0916:05,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,F,Echo,1960-F07,
1960 May 15 0000:05,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,Korabl'-Sputnik,1960 EPS 3,
1960 May 24 1736:46,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Agena A,S,Midas 2,1960 ZET 1,
1960 Jun 22 0554,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 2A,1960 ETA 1,
1960 Jun 29 2200:44,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,F,Discoverer 12,1960-F08,
1960 Jul 28 0931,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,F,[Korabl'-Sputnik],1960-F09,
1960 Aug 10 2037:54,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 13,1960 THE,
1960 Aug 12 0939:43,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Echo 1,1960 IOT 1,
1960 Aug 18 1957:08,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 14,1960 KAP,
1960 Aug 18 1958,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,F,Courier 1A,1960-F10,
1960 Aug 19 0844:06,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,Korabl'-Sputnik-2,1960 LAM 1,
1960 Sep 13 2213:39,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena A,S,Discoverer 15,1960 MU,
1960 Sep 21 1301:53,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Blue Scout Jr,S,Blue Scout D-1,1960-U02,
1960 Sep 25 1513:17,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Able,F,P-30 (Able VA),1960-F11,Moon
1960 Oct 4 1523,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,ST-2,1960-U03,
1960 Oct 4 1750,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,S,Courier 1B,1960 NU 1,
1960 Oct 10 1427:49,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Mars],1960-F12,Mars
1960 Oct 11 2033:28,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena A,F,Samos 1,1960-F13,
1960 Oct 14 1351:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,[AMS Mars],1960-F14,Mars
1960 Oct 26 2026:09,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 16,1960-F15,
1960 Nov 3 0523:10,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,S,Explorer 8,1960 XI 1,
1960 Nov 12 2042:32,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 17,1960 OMI,
1960 Nov 23 1113:03,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Tiros 2,1960 PI 1,
1960 Nov 30 1950,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,F,Transit 3A,1960-F16,
1960 Dec 1 0730:04,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72,S,Korabl'-Sputnik-3,1960 RHO 1,
1960 Dec 4 2114,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,F,NASA S-56,1960-F17,
1960 Dec 7 2020:58,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 18,1960 SIG,
1960 Dec 15 0910,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Able,F,P-31,1960-F18,Moon
1960 Dec 20 2032,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 19,1960 TAU,
1960 Dec 22 0745:19,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,F,[Korabl'-Sputnik],1960-F19,
1961 Jan 31 2021:19,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena A,S,Samos 2 F-1,1961 ALP 1,
1961 Feb 4 0118:03,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,Tyazholiy Sputnik,1961 BET 1,Venus
1961 Feb 12 0034:36,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,AMS Venera,1961 GAM 1,
1961 Feb 16 1305,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,Explorer 9,1961 DEL 1,
1961 Feb 17 2025:02,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 20,1961 EPS 1,
1961 Feb 18 2257:58,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 21,1961 ZET,
1961 Feb 22 0345,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 3B,1961 ETA,
1961 Feb 25 0013:16,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,F,NASA S-45,1961-F01,
1961 Mar 9 0629:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Korabl'-Sputnik-4,1961 THE 1,
1961 Mar 25 0554:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Korabl'-Sputnik-5,1961 IOT 1,
1961 Mar 25 1517:04,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Explorer 10,1961 KAP,
1961 Mar 30 2034:43,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 22,1961-F02,
1961 Apr 8 1921:08,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 23,1961 LAM 1,
1961 Apr 12 0607:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Vostok,1961 MU 1,
1961 Apr 21 0556:20,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Trailblazer 1,S,Trailblazer 1g,1961-U02,
1961 Apr 25 1615,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas D,F,Mercury MA-3,1961-F03,
1961 Apr 27 1416:38,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,S,Explorer 11,1961 NU 1,
1961 May 24 1948:05,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Juno II,F,NASA S-45A,1961-F04,
1961 Jun 8 2116,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 24,1961-F05,
1961 Jun 16 2302:52,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 25,1961 XI 1,
1961 Jun 29 0423,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 4A,1961 OMI 1,
1961 Jun 30 1709,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,F,NASA S-55,1961-F06,
1961 Jul 7 2329:48,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 26,1961 PI,
1961 Jul 12 1025:06,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Tiros 3,1961 RHO 1,
1961 Jul 12 1511:46,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Midas 3,1961 SIG 1,
1961 Jul 21 2235:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 27,1961-F07,
1961 Aug 4 0001,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 28,1961-F08,
1961 Aug 6 0600,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Vostok-2,1961 TAU 1,
1961 Aug 16 0321:05,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Explorer 12,1961 UPS,
1961 Aug 17 1429,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Blue Scout Jr,S,O-1,1961-U01,
1961 Aug 23 1004:10,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 1,1961 PHI 1,Moon
1961 Aug 25 1829:44,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,Explorer 13,1961 CHI,
1961 Aug 30 2000,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 29,1961 PSI,
1961 Sep 9 1928:27,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,Samos 3,1961-F09,
1961 Sep 12 1959,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 30,1961 OME 1,
1961 Sep 13 1404,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas D,S,Mercury MA-4,1961 A ALP 1,
1961 Sep 17 2100,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 31,1961 A BET,
1961 Oct 13 1922,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 32,1961 A GAM 1,
1961 Oct 19 1738,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,P-21,1961-U03,
1961 Oct 21 1353:03,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Midas 4,1961 A DEL 1,
1961 Oct 23 1923,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 33,1961-F10,
1961 Oct 27 1630,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,Kosmos,1961-F11,
1961 Nov 1 1532,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Blue Scout II,F,Mercury MS-1,1961-F12,
1961 Nov 5 2000:30,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 34,1961 A EPS 1,
1961 Nov 15 2122:46,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 35,1961 A ZET 1,
1961 Nov 15 2226,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,S,Transit 4B,1961 A ETA 1,
1961 Nov 18 0812:21,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 2,1961 A THE,Moon
1961 Nov 22 2045:47,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,Samos 4,1961-F13,
1961 Nov 29 1507:57,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas D,S,Mercury MA-5,1961 A IOT 1,
1961 Dec 4 0400:16,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Blue Scout Jr,S,Blue Scout Jr. O-2,1961-U04,
1961 Dec 11 0939:02,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,F,[Kosmos-1],1961-F14,
1961 Dec 12 2040:21,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 36,1961 A KAP 1,
1961 Dec 21 1230,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,[Kosmos-1],1961-F15,
1961 Dec 22 1912:33,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,S.T. LOW,1961 A LAM 2,
1962 Jan 13 2141:02,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,Discoverer 37,1962-F01,
1962 Jan 24 0930,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,F,SR 4,1962-F02,
1962 Jan 26 2030:11,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 3,1962 ALP 1,Moon
1962 Feb 8 1243:45,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Tiros 4,1962 BET 1,
1962 Feb 20 1447:39,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas D,S,Friendship Seven,1962 GAM 1,
1962 Feb 21 1844,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 2301,1962 DEL,
1962 Feb 27 1939:20,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 38,1962 EPS 1,
1962 Mar 7 1606:18,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,OSO 1,1962 ZET 1,
1962 Mar 7 2210:31,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Samos 6,1962 ETA 1,
1962 Mar 16 1159,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-1,1962 THE 1,
1962 Mar 29 0727,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-2,S,P-21A,1962-U01,
1962 Apr 6 1715,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-2,1962 IOT 1,
1962 Apr 9 1504:48,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,Midas 5,1962 KAP 1,
1962 Apr 18 0053:47,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,Discoverer 39,1962 LAM 1,
1962 Apr 23 2050,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas Agena B,S,Ranger 4,1962 MU 1,Moon
1962 Apr 24 0400,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-3,1962 NU 1,
1962 Apr 26 1002,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,Kosmos-4,1962 XI 1,
1962 Apr 26 1049,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2,F,SR 4B,1962-F03,
1962 Apr 26 1800:16,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Ariel 1,1962 OMI 1,
1962 Apr 26 1856:08,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2401,1962 PI,
1962 Apr 29 0030:12,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1125,1962 RHO 1,
1962 May 6 0541:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Trailblazer 2,S,Trailblazer IIb,1962-U02,
1962 May 10 1206,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Ablestar,F,ANNA 1A,1962-F04,
1962 May 15 1936,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1126,1962 SIG 1,
1962 May 24,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2M,F,FTV 3501,1962-F05,
1962 May 24 1245:16,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Atlas D,S,Aurora Seven,1962 TAU 1,
1962 May 28 0300,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-5,1962 UPS 1,
1962 May 30 0100:04,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1128,1962 PHI 1,
1962 Jun 1 0938,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,F,[Kosmos-6],1962-F06,
1962 Jun 2 0031:28,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1127,1962 CHI 1,
1962 Jun 17 1814:18,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,FTV 2402,1962 PSI,
1962 Jun 18 2020,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 2312,1962 OME 1,
1962 Jun 19 1219:01,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Thor Delta,S,Tiros 5,1962 A ALP 1,
1962 Jun 23 0030:47,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,FTV 1129,1962 A BET,
1962 Jun 28 0109,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,FTV 1151,1962 A GAM,
1962 Jun 30 1600,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,Kosmos-6,1962 A DEL 1,
