Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,COSPAR,Tag
1983 Jun 2 0238:40,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D-1,S,Venera-15,1983-053A,Venus
1983 Jun 7 0232:51,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D-1,S,Venera-16,1983-054A,Venus
1983 Jun 7 0750,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1468,1983-055A,
1983 Jun 9 2323,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas H,S,OPS 6432,1983-056A,
1983 Jun 14 1215,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1469,1983-057A,
1983 Jun 16 1159:03,FRGUI,"Guiana Space Centre, French Guiana",5.232,-52.776,Ariane 1,S,ECS 1,1983-058A,
1983 Jun 18 1133:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Space Shuttle,S,Challenger (STS-7),1983-059A,Space Shuttle
1983 Jun 20 1845,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 34D,S,OPS 0721,1983-060A,
1983 Jun 22 2358,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1470,1983-061A,
1983 Jun 27 0912:18,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Soyuz T-9,1983-062A,
1983 Jun 27 1537:09,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout D-1,S,P83-1 Hilat,1983-063A,
1983 Jun 28 1500,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1471,1983-064A,
1983 Jun 28 2308,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Delta 3920/PAM,S,Galaxy 1,1983-065A,
1983 Jun 30 2356:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Gorizont,1983-066A,
1983 Jul 1 1217,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Prognoz-9,1983-067A,
1983 Jul 5 0750,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1472,1983-068A,
1983 Jul 6 0031:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1473,1983-069A,
1983 Jul 8 1921,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Kosmos-1481,1983-070A,
1983 Jul 13 0940,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1482,1983-071A,
1983 Jul 14 1021,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas E/SGS-2,S,GPS 8,1983-072A,
1983 Jul 19 1514,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,1983-073A,
1983 Jul 20 0800,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1483,1983-074A,
1983 Jul 24 0550:37,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92M,S,Kosmos-1484,1983-075A,
1983 Jul 26 1200,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1485,1983-076A,
1983 Jul 28 2249,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Delta 3920/PAM,S,Telstar 301,1983-077A,
1983 Jul 31 1541,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan 34B,S,OPS 7304,1983-078A,
1983 Aug 3 1240,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1486,1983-079A,
1983 Aug 5 0920,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1487,1983-080A,
1983 Aug 5 2029,TANSC,"Tanegashima Space Center, Japan",30.4,131,N-2,S,Sakura 2B,1983-081A,
1983 Aug 9 1120,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1488,1983-082A,
1983 Aug 10 1300,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Kosmos-1489,1983-083A,
1983 Aug 10 1824:26,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM-2,S,Kosmos-1490,1983-084A,
1983 Aug 17 1208:23,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,S,Progress-17,1983-085A,
1983 Aug 19 0600,JSC,"Jiuquan Satellite Launch Center, China",40.6,99.9,Chang Zheng 2C,S,Fanhui Shi Weixing (05),1983-086A,
1983 Aug 23 1105,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1493,1983-087A,
1983 Aug 25 2002:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Raduga,1983-088A,
1983 Aug 30 0632:00,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Space Shuttle,S,Challenger (STS-8),1983-089A,Space Shuttle
1983 Aug 30 2249:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Molniya 8K78M,S,Molniya-3,1983-090A,
1983 Aug 31 0630,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K65M,S,Kosmos-1494,1983-091A,
1983 Sep 3 1015,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1495,1983-092A,
1983 Sep 7 1324,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1496,1983-093A,
1983 Sep 8 2252,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Delta 3924,S,Satcom 2R,1983-094A,
1983 Sep 9 1100,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1497,1983-095A,
1983 Sep 14 1025,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1498,1983-096A,
1983 Sep 17 1115,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1499,1983-097A,
1983 Sep 22 2216,AFETR,"Kennedy Space Center/Cape Canaveral, USA",28.391139,-80.588343,Delta 3920/PAM,S,Galaxy 2,1983-098A,
1983 Sep 26 1937:51,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz-U,F,[Soyuz T],1983-F02,
1983 Sep 28 0759,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1500,1983-099A,
1983 Sep 29 1737:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Ekran,1983-100A,
